collected_at,start_date_raw,start_time,end_date_raw,team,event_name,venue,venue_address,event_type,format,highlights,note,url,welcome_match,member_type
6/14,2026/7/18,11:20,,体育会 ラクロス部（男子）,関東リーグ　対慶應,大井ホッケー競技場メインピッチ,東京都品川区八潮4-1-19,,,,,https://meisupo.net/result/page/2/,,
6/26,2026/7/25,,07/26,体育会 自転車部,全日本学生RCS第4戦 第20回白馬クリテリウムラウンド,長野県白馬村,長野県白馬村,,,,,https://jicf.info/30976/,,
6/8,2026/8/2,13:00,,落語研究会,第2回新さっぽろ全国大学対抗新作落語選手権,新さっぽろアークシティホテル,北海道札幌市厚別区厚別中央２条５丁目６−２,,,,,https://x.com/piroshai/status/2060996215605723181/photo/1,,
5/9,2026/8/5,,08/07,体育会 ヨット部,全日本スナイプ,富山新港,〒934-0024 富山県射水市越の潟町5,,,,,https://drive.google.com/file/d/1LM36sQK-F901lnCGJPEgRwL4Z14fQcB_/view,,
5/11,2026/8/7,,08/22,体育会 硬式庭球部,全日本学生室内テニス選手権大会,有明テニスの森,東京都江東区有明2-2-22,,,,,https://alljapanintercollegiate-tennis.r-cms.jp/gametennis_list/,,
6/14,2026/8/9,11:10,,体育会 ラクロス部（女子）,関東リーグ 対法政,大井ホッケー競技場メインピッチ,東京都品川区八潮4-1-19,,,,,https://meisupo.net/result/page/2/,,
6/14,2026/8/11,11:50,,体育会 ラクロス部（男子）,関東リーグ 対成蹊,駒沢オリンピック公園総合運動場第一球技場,東京都世田谷区駒沢公園1,,,,,https://meisupo.net/result/page/2/,,
5/16,2026/8/15,,08/17,体育会 バスケットボール部（男子）,第49回李相佰盃日・韓大学代表バスケットボール競技大会,北ガスアリーナ札幌46,北海道札幌市中央区北4条東6丁目2,,,,,https://www.instagram.com/p/DXOohdVgati/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,,
3/22,2026/8/27,14:30,,体育会 バスケットボール部（男子）,明治大 vs 東海大学,大田区総合体育館,東京都大田区東蒲田1-11-1,,,,,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
6/26,2026/08/28,,08/30,体育会 自転車部,文部科学大臣杯 第81回 全日本大学対抗選手権自転車競技大会（トラック,千葉県・千葉JPFドーム,千葉県千葉市中央区弁天4-1-1,,,,,https://jicf.info/30021/,,
6/14,2026/8/29,14:40,,体育会 ラクロス部（男子）,関東リーグ　対獨協,駒沢オリンピック公園総合運動場第二球技場,東京都世田谷区駒沢公園1,,,,,https://meisupo.net/result/page/2/,,
5/9,2026/8/29,,08/30,体育会 ヨット部,関東個人選手権,江の島,神奈川県藤沢市江の島1-12-2,,,,,https://drive.google.com/file/d/1LM36sQK-F901lnCGJPEgRwL4Z14fQcB_/view,,
,2026/8/30,9:00,,体育会 ヨット部,関東個人選手権,江の島ヨットハーバー,神奈川県藤沢市江の島1丁目12−2,,,,,,,
3/22,2026/8/30,13:00,,体育会 バスケットボール部（男子）,明治大 vs 青山学院大学,日本体育大学世田谷キャンパス,東京都世田谷区深沢7丁目1−1,,,,,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
6/14,2026/8/30,14:40,,体育会 ラクロス部（女子）,関東リーグ 対中央大学,駒沢オリンピック公園総合運動場第一球技場,東京都世田谷区駒沢公園1,,,,,https://www.instagram.com/p/DaNh8ZMS6KD/?igsh=MnNxY2djaWwzMTNm,,
3/22,2026/8/31,15:00,,体育会 バスケットボール部（男子）,明治大 vs 日本体育大学,日本体育大学世田谷キャンパス,東京都世田谷区深沢7丁目1−1,,,,,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
,2026/8/31,,09/03,体育会 射撃部,関東学生秋季大会,栃木県ライフル射撃場,栃木県宇都宮市新里町乙1067,,,,,https://drive.google.com/drive/folders/1LlgxFc3f_Xtow_wjd3_VE8ZIwboQucAK,,
3/22,2026/9/3,16:00,,体育会 バスケットボール部（男子）,明治大 vs 筑波大学,明治大学和泉キャンパス,東京都杉並区永福1-9-1,,,,ホーム,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
,2026/9/3,,09/06,体育会 水泳部（競泳）,第102回日本学生選手権,東和薬品ＲＡＣＴＡＢドーム,大阪府門真市三ツ島3丁目7−16,,,,,https://aquatics.or.jp/tournament/57938/,,
6/5,2026/9/4,,09/07,体育会 水泳部（競泳）,日本学生選手権水泳競技大会,東京アクアティクスセンター,東京都江東区辰巳2-2-1,,,,,https://www.swim-g.net/intercollege/index.html,,
,2026/9/5,,09/07,体育会 競走部,第95回日本学生陸上競技対校選手権,日産スタジアム,神奈川県横浜市港北区小机町3300,,,,,,,
3/22,2026/9/6,15:00,,体育会 バスケットボール部（男子）,明治大 vs 専修大学,筑波大学中央体育館,茨城県つくば市天久保3-1-1,,,,ホーム,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
3/22,2026/9/7,15:00,,体育会 バスケットボール部（男子）,明治大 vs 日本大学,明治大学和泉キャンパス,東京都杉並区永福1-9-1,,,,ホーム,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
3/22,2026/09/10,12:30,,体育会 バスケットボール部（男子）,明治大 vs 白鷗大学,駒沢オリンピック公園総合運動場 屋内球技場,東京都世田谷区駒沢公園1,,,,ホーム,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
1/22,09/11,,9/13,体育会 馬術部,関東学生馬術秋季大会　関東学生争奪戦（出場未定）,津久井馬術場,神奈川県相模原市緑区鳥屋2253,,,,,https://kantougakusei.wixsite.com/website,,
5/9,2026/9/11,,09/13,体育会 ヨット部,関東インカレ 決勝,江の島,神奈川県藤沢市江の島1-12-2,,,,,https://drive.google.com/file/d/1LM36sQK-F901lnCGJPEgRwL4Z14fQcB_/view,,
3/22,2026/09/13,18:00,,体育会 バスケットボール部（男子）,明治大 vs 早稲田大学,白鵬大学キャンパス,栃木県小山市駅東通り2-2-2.,,,,ホーム,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm,,
,2026/9/13,,,体育会 ヨット部,秋季関東学生選手権,江の島ヨットハーバー,神奈川県藤沢市江の島1丁目12−2,,,,,,,
