start_date_raw,start_time,end_date_raw,team,event_name,venue,venue_address,url,source
2026/09/03,,,水泳部（競泳）,第102回日本学生選手権（１日目）,東和薬品ＲＡＣＴＡＢドーム,大阪府門真市三ツ島3丁目7−16,https://meisupo.net/result/48944/,meisupo.net
2026/09/03,,,射撃部,関東学生秋季大会,栃木県ライフル射撃場,栃木県宇都宮市新里町乙1067,https://meisupo.net/result/49442/,meisupo.net
2026/09/02,,,射撃部,関東学生秋季大会,栃木県ライフル射撃場,栃木県宇都宮市新里町乙1067,https://meisupo.net/result/49440/,meisupo.net
2026/09/01,,,射撃部,関東学生秋季大会,栃木県ライフル射撃場,栃木県宇都宮市新里町乙1067,https://meisupo.net/result/49438/,meisupo.net
2026/08/31,,,射撃部,関東学生秋季大会,栃木県ライフル射撃場,栃木県宇都宮市新里町乙1067,https://meisupo.net/result/49436/,meisupo.net
2026/08/30,,,ヨット部,関東個人選手権,江の島ヨットハーバー,神奈川県藤沢市江の島1丁目12−2,https://meisupo.net/result/49208/,meisupo.net
2026/08/30,,,ラクロス部（女子）,関東学生ラクロス１部リーグ戦,駒沢オリンピック公園第一球技場,東京都世田谷区駒沢公園1,https://meisupo.net/result/50622/,meisupo.net
2026/08/30,,,自転車部,第81回全日本大学対抗選手権大会（トラック）,千葉JPFドーム,,https://meisupo.net/result/51648/,meisupo.net
2026/08/29,,,ラクロス部（男子）,関東学生ラクロス１部リーグ戦,駒沢オリンピック公園第二球技場,東京都世田谷区駒沢公園1,https://meisupo.net/result/50628/,meisupo.net
2026/08/29,,,自転車部,第81回全日本大学対抗選手権大会（トラック）（自転車）,千葉JPFドーム,,https://meisupo.net/result/51646/,meisupo.net
2026/08/28,,,自転車部,第81回全日本大学対抗選手権大会（トラック）,千葉JPFドーム,,https://meisupo.net/result/51644/,meisupo.net
2026/08/23,,,アーチェリー部,関東学生個人選手権大会 本戦,夢の島公園アーチェリー場,東京都江東区夢の島2-1-4,https://meisupo.net/result/51642/,meisupo.net
2026/08/22,,,アーチェリー部,関東学生個人選手権大会 本戦,夢の島公園アーチェリー場,東京都江東区夢の島2-1-4,https://meisupo.net/result/51640/,meisupo.net
2026/08/21,,,体操部,全日本学生選手権大会,高崎アリーナ,群馬県高崎市下和田町4-1-18,https://meisupo.net/result/51597/,meisupo.net
2026/08/20,,,弓道部,第74回全日本学生弓道選手権大会（近的大会）,神戸グリーンアリーナ,兵庫県神戸市須磨区緑台,https://meisupo.net/result/51550/,meisupo.net
2026/08/19,,,弓道部,第74回全日本学生弓道選手権大会（近的大会）,神戸グリーンアリーナ,兵庫県神戸市須磨区緑台,https://meisupo.net/result/51548/,meisupo.net
2026/08/18,,,弓道部,第74回全日本学生弓道選手権大会（近的大会）,神戸グリーンアリーナ,兵庫県神戸市須磨区緑台,https://meisupo.net/result/51543/,meisupo.net
2026/08/16,,,水泳部（水球）,日本選手権,千葉県国際総合水泳場,,https://meisupo.net/result/51636/,meisupo.net
2026/08/15,,,水泳部（水球）,日本選手権,千葉県国際総合水泳場,,https://meisupo.net/result/51634/,meisupo.net
2026/08/14,,,水泳部（水球）,日本選手権,千葉県国際総合水泳場,,https://meisupo.net/result/51632/,meisupo.net
2026/08/13,,,水泳部（水球）,日本選手権,千葉県国際総合水泳場,,https://meisupo.net/result/51630/,meisupo.net
2026/08/11,,,ラクロス部（男子）,関東学生ラクロス１部リーグ戦,駒沢オリンピック公園第一球技場,東京都世田谷区駒沢公園1,https://meisupo.net/result/50626/,meisupo.net
2026/08/09,,,ラクロス部（女子）,関東学生ラクロス１部リーグ戦,大井ホッケー競技場,,https://meisupo.net/result/50620/,meisupo.net
