team,tournament_name_sample,occurrence_count,years_seen,sample_url
体育会 剣道部,第51回関東女子学生剣道優勝大会,2,"2023,2025",https://kantougakuren.jp/archives/8780
体育会 卓球部,全日本学生選抜卓球選手権大会,2,"2023,2024",http://www.meiji-tt.net/gametabletennis_list/
体育会 卓球部,２０２５年（令和７年度）・春季リーグ戦,2,2025,https://www.kanto-sttf.jp/files/user/2025-HARU-TIME-TABLE.xlsx
体育会 卓球部,１部リーグ,2,2025,https://www.kanto-sttf.jp/files/user/2025-KANTO-NITTEI.xlsx
体育会 卓球部,関東学生春季リーグ戦 （卓球 ）,2,2026,https://sports.banklives.com/contents/kanto_tabletennis_syunki
体育会 合気道部,第60回全日本合気道演武大会,3,"2023,2024,2025",https://kantouaikigakuren.jimdofree.com/%E6%B4%BB%E5%8B%95%E4%BA%88%E5%AE%9A/
体育会 合気道部,第62回全国学生合気道演武大会,2,"2023,2025",https://kantouaikigakuren.jimdofree.com/%E6%B4%BB%E5%8B%95%E4%BA%88%E5%AE%9A/
体育会 射撃部,全日本学生スポーツ射撃選手権大会,4,"2023,2024,2025",https://meijidaigakusyagekibu.jimdofree.com/%E3%82%B9%E3%82%B1%E3%82%B8%E3%83%A5%E3%83%BC%E3%83%AB/
体育会 射撃部,日本学生選抜スポーツ射撃競技大会,2,"2023,2026",https://meijidaigakusyagekibu.jimdofree.com/%E3%82%B9%E3%82%B1%E3%82%B8%E3%83%A5%E3%83%BC%E3%83%AB/
体育会 少林寺拳法部,第63回関東学生大会,2,"2023,2026",https://sites.google.com/kantogs.org/2023kanto
体育会 弓道部,第35回全国大学弓道選抜大会,3,"2023,2024,2026",https://www.instagram.com/p/DZwM6w8nywJ/?igsh=MTB0NXFjZGc0eWNseA==
体育会 弓道部,第54回全関東学生選手権,2,"2023,2024",http://togaku-kyudo.com/%E7%AC%AC53%E5%9B%9E%E5%85%A8%E9%96%A2%E9%96%A2%E9%80%A3%E3%83%9A%E3%83%BC%E3%82%B8
体育会 弓道部,第69回東西学生弓道選抜対抗試合,2,2023,https://www.pac-mice.jp/zennichi/taikai/taikai-A.html
体育会 弓道部,第48回全日本学生弓道女子王座決定戦,2,2023,https://www.pac-mice.jp/zennichi/taikai/taikai-A.html
体育会 弓道部,第47回女子東西学生弓道選抜対抗試合,2,2023,https://www.pac-mice.jp/zennichi/taikai/taikai-A.html
体育会 応援団,第49回合同演奏会,2,"2025,2026",https://www.instagram.com/p/DZY8RI9E-1Y/?igsh=MTY5Mm90em00bHZscQ==
体育会 応援団,六旗の下に,2,2023,http://rokudai-ouen.com/
体育会 応援団,紫紺の集い,2,"2023,2025",https://sites.google.com/view/meiji-ouendan/%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88
体育会 柔道部,全日本学生体重別選手権大会,3,"2023,2025",http://www.gakujuren.or.jp/103.html
体育会 柔道部,2024年度全日本学生柔道優勝大会（男子73回 女子33回）,2,"2023,2024",http://www.gakujuren.or.jp/101.html
体育会 柔道部,東京学生体重別選手権大会,2,"2023,2025",http://www.tokyojudo.gr.jp/2023/2023c/c_top.html
体育会 柔道部,全日本ジュニア体重別選手権大会,2,"2023,2025",https://www.judo.or.jp/tournament/12716/
体育会 柔道部,全日本学生体重別団体優勝大会,2,"2023,2025",http://jdm.tokyo/calendar.html
体育会 柔道部,講道館杯全日本体重別選手権大会,2,"2023,2025",http://jdm.tokyo/calendar.html
体育会 水泳部（水球）,第101回 日本学生選手権水泳競技大会,2,"2024,2025",https://aquatics.or.jp/swim/#schedule
体育会 準硬式野球部,秋季リーグ戦,11,"2023,2024",https://meijijunkobaseball.wixsite.com/-site/post/%E3%80%90%E7%A7%8B%E5%AD%A3%E3%83%AA%E3%83%BC%E3%82%B0%E6%88%A6%E6%97%A5%E7%A8%8B-%E6%9C%80%E6%96%B0%E7%89%88%E3%80%91
体育会 準硬式野球部,春季リーグ戦　対東京,3,2025,https://drive.google.com/file/d/16SuNG1C7N1CFcBqEGLWFrEaNRsQU7lPA/view
体育会 準硬式野球部,秋季リーグ戦vs法政,3,2025,https://tourokurenmei.com/
体育会 準硬式野球部,秋季リーグ戦vs早稲田,3,2025,https://tourokurenmei.com/
体育会 準硬式野球部,文部科学大臣杯 第77回 全日本大学準硬式野球選手権大会,2,"2024,2025",https://junkoh.jp/archives/7891#more-7891
体育会 準硬式野球部,関東選手権大会,2,2025,https://meijijunkobaseball.wixsite.com/-site
体育会 準硬式野球部,春季リーグ戦　対法政大学,2,2025,https://drive.google.com/file/d/16SuNG1C7N1CFcBqEGLWFrEaNRsQU7lPA/view
体育会 準硬式野球部,春季リーグ戦　対立教大学,2,2025,https://drive.google.com/file/d/16SuNG1C7N1CFcBqEGLWFrEaNRsQU7lPA/view
体育会 準硬式野球部,春季リーグ戦　対早稲田,2,2025,https://drive.google.com/file/d/16SuNG1C7N1CFcBqEGLWFrEaNRsQU7lPA/view
体育会 準硬式野球部,秋季リーグ戦vs慶應,2,2025,https://tourokurenmei.com/
体育会 準硬式野球部,秋季リーグ戦vs立教,2,2025,https://tourokurenmei.com/
体育会 準硬式野球部,2026年度東京六大学準硬式野球春季リーグ戦　対慶應,2,,https://www.instagram.com/p/DVvQURfkhqd/?igsh=MW5lODJiZ3VoMXE2cA==
体育会 準硬式野球部,2026年度東京六大学準硬式野球春季リーグ戦　対早稲田,2,,https://www.instagram.com/p/DVvQURfkhqd/?igsh=MW5lODJiZ3VoMXE2cA==
体育会 準硬式野球部,2026年度東京六大学準硬式野球春季リーグ戦　対立教,2,,https://www.instagram.com/p/DVvQURfkhqd/?igsh=MW5lODJiZ3VoMXE2cA==
